Price,Close,High,Low,Open,Volume
Ticker,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
Date,,,,,
2024-11-27,19060.48046875,19133.109375,18937.19921875,19132.990234375,5619090000
2024-11-29,19218.169921875,19245.490234375,19066.51953125,19087.470703125,4042550000
2024-12-02,19403.94921875,19436.919921875,19255.4296875,19255.4296875,6370530000
2024-12-03,19480.91015625,19486.150390625,19340.41015625,19364.33984375,6005160000
2024-12-04,19735.119140625,19741.759765625,19575.400390625,19587.48046875,7870030000
2024-12-05,19700.259765625,19790.029296875,19688.58984375,19756.400390625,7229510000
2024-12-06,19859.76953125,19863.150390625,19734.419921875,19743.9609375,6787610000
2024-12-09,19736.689453125,19872.7890625,19698.05078125,19824.08984375,7884620000
2024-12-10,19687.240234375,19887.080078125,19641.33984375,19796.390625,6843850000
2024-12-11,20034.890625,20055.9296875,19830.640625,19832.9609375,6639720000
2024-12-12,19902.83984375,20018.240234375,19897.380859375,19947.33984375,7047550000
2024-12-13,19926.720703125,20061.650390625,19817.470703125,19995.1796875,6028250000
2024-12-16,20173.890625,20204.580078125,19988.119140625,20016.119140625,8855040000
2024-12-17,20109.060546875,20148.830078125,20004.73046875,20095.619140625,9534350000
2024-12-18,19392.689453125,20179.76953125,19336.58984375,20114.98046875,9996120000
2024-12-19,19372.76953125,19623.01953125,19357.759765625,19565.66015625,8029590000
2024-12-20,19572.599609375,19758.609375,19168.380859375,19190.0390625,10962450000
2024-12-23,19764.880859375,19772.099609375,19504.6796875,19641.05078125,6820720000
2024-12-24,20031.130859375,20031.130859375,19813.759765625,19818.48046875,4739190000
2024-12-26,20020.359375,20070.080078125,19888.109375,19979.25,6467910000
2024-12-27,19722.029296875,19904.76953125,19553.400390625,19896.76953125,7765120000
2024-12-30,19486.7890625,19622.9296875,19342.509765625,19460.41015625,8384090000
2024-12-31,19310.7890625,19563.720703125,19283.41015625,19551.359375,8873030000
2025-01-02,19280.7890625,19517.869140625,19117.58984375,19403.900390625,8737550000
2025-01-03,19621.6796875,19638.66015625,19379.5703125,19395.509765625,8214050000
2025-01-06,19864.98046875,20007.94921875,19785.0,19851.990234375,9586840000
2025-01-07,19489.6796875,19940.2109375,19421.01953125,19938.080078125,13371130000
2025-01-08,19478.880859375,19544.509765625,19308.5390625,19469.369140625,8851720000
2025-01-10,19161.630859375,19315.109375,19018.75,19312.259765625,8608880000
2025-01-13,19088.099609375,19099.970703125,18831.91015625,18903.66015625,7830760000
2025-01-14,19044.390625,19273.140625,18926.599609375,19207.75,7168110000
2025-01-15,19511.23046875,19548.900390625,19299.3203125,19350.310546875,7260250000
2025-01-16,19338.2890625,19579.849609375,19335.6796875,19573.869140625,7085990000
2025-01-17,19630.19921875,19709.640625,19543.3203125,19655.55078125,7996360000
2025-01-21,19756.779296875,19789.630859375,19551.169921875,19734.390625,8015780000
2025-01-22,20009.33984375,20068.51953125,19903.05078125,19903.05078125,7219060000
2025-01-23,20053.6796875,20053.6796875,19892.55078125,19906.990234375,6837700000
2025-01-24,19954.30078125,20118.609375,19897.130859375,20087.109375,7708150000
2025-01-27,19341.830078125,19514.349609375,19204.94921875,19234.0390625,8870200000
2025-01-28,19733.58984375,19759.4296875,19294.619140625,19418.220703125,7121740000
2025-01-29,19632.3203125,19699.8203125,19479.509765625,19695.6796875,6497710000
2025-01-30,19681.75,19785.7890625,19483.830078125,19697.529296875,6679500000
2025-01-31,19627.439453125,19969.169921875,19575.2109375,19832.330078125,7947370000
2025-02-03,19391.9609375,19502.130859375,19141.150390625,19215.380859375,8272460000
2025-02-04,19654.01953125,19666.439453125,19408.1796875,19422.169921875,6477050000
2025-02-05,19692.330078125,19696.939453125,19498.900390625,19533.05078125,6712220000
2025-02-06,19791.990234375,19793.359375,19654.109375,19725.830078125,6642100000
2025-02-07,19523.400390625,19862.5390625,19489.359375,19774.869140625,7748940000
2025-02-10,19714.26953125,19772.0390625,19650.7890625,19668.1796875,9535440000
2025-02-11,19643.859375,19731.9296875,19579.76953125,19602.109375,9269380000
2025-02-12,19649.94921875,19682.509765625,19415.48046875,19436.509765625,7946550000
2025-02-13,19945.640625,19952.169921875,19675.869140625,19696.919921875,8414510000
2025-02-14,20026.76953125,20045.759765625,19932.150390625,19956.8203125,7995720000
2025-02-18,20041.259765625,20110.119140625,19909.740234375,20090.55078125,8683170000
2025-02-19,20056.25,20099.390625,19928.890625,19994.5,8171530000
2025-02-20,19962.359375,20041.150390625,19795.01953125,20029.189453125,7329270000
2025-02-21,19524.009765625,20016.66015625,19510.91015625,20006.689453125,8461020000
2025-02-24,19286.9296875,19644.23046875,19275.4609375,19590.849609375,7414760000
2025-02-25,19026.390625,19256.349609375,18871.51953125,19242.609375,7991440000
2025-02-26,19075.259765625,19286.01953125,18966.4609375,19109.3203125,7034450000
2025-02-27,18544.419921875,19242.689453125,18535.220703125,19212.359375,7700290000
2025-02-28,18847.279296875,18861.330078125,18372.990234375,18477.169921875,8247520000
